Q1: Age group (Ordinal);Q2: Gender (Nominal);Q3: Country (Nominal);Q4: Organisation size (employees) (Ordinal);Q5: Industry (Nominal);Q6: Years of active investment experience (Ratio);Q7: Investor acquisition events attended (past 2 yrs) (Ratio);Q8: Typical single deal size considered (Ratio);Q9: Follow-up meetings planned from today's event (Ratio);Q10: Overall satisfaction with this event (Ordinal);Q11: Relevance of deal flow to investment strategy (Ordinal);Q12: Quality of networking opportunities (Ordinal);Q13: Likelihood to recommend this event to a peer (Ordinal);Q14: Preferred format for future events (Nominal);Q15: Additional investors from your network you might invite (Ratio);Q16: How would you describe the atmosphere of this event? (Text);Q17: How do you assess the probability of successful acquisitions resulting from this event? (Text);Q18: What would motivate you to participate in a future edition of this event? (Text)
60 or older;Male;Netherlands;10 - 49 (small);Technology / Software;11;4;700;4;4;5;4;5;Hybrid (in-person + virtual);4;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Prefer not to say;Germany;50 - 249 (medium);Financial Services;16;4;800;1;1;2;2;1;Hybrid (in-person + virtual);1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
40 - 49;Male;Other non-EU;1,000+ (enterprise);Technology / Software;7;5;550;3;4;3;3;3;No preference;2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Female;Other EU;10 - 49 (small);Technology / Software;0;4;1400;2;2;3;3;3;Fully virtual;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Female;United Kingdom;250 - 999 (large);Technology / Software;18;6;1250;2;4;2;3;4;Hybrid (in-person + virtual);2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
60 or older;Female;Other non-EU;1,000+ (enterprise);Real Estate;1;9;600;2;2;3;3;2;Hybrid (in-person + virtual);1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
50 - 59;Prefer not to say;Germany;10 - 49 (small);Technology / Software;19;2;1000;0;3;3;3;2;Hybrid (in-person + virtual);1;Disappointing ambiance. The noise level in the networking area made it nearly impossible to have focused conversations.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
30 - 39;Non-binary / gender diverse;Germany;50 - 249 (medium);Manufacturing / Industry;25;4;50;2;5;5;5;5;Hybrid (in-person + virtual);4;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Male;Other non-EU;1,000+ (enterprise);Technology / Software;9;2;1100;2;3;3;4;4;Hybrid (in-person + virtual);1;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
50 - 59;Female;Germany;50 - 249 (medium);Technology / Software;3;4;500;4;5;4;5;4;No preference;3;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
30 - 39;Female;Netherlands;1 - 9 (micro);Technology / Software;13;3;650;2;4;4;2;3;Hybrid (in-person + virtual);2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
30 - 39;Male;Switzerland;1,000+ (enterprise);Manufacturing / Industry;4;3;1300;3;2;2;1;3;Hybrid (in-person + virtual);1;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
30 - 39;Female;Netherlands;50 - 249 (medium);Manufacturing / Industry;5;6;600;5;3;5;5;5;No preference;0;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
40 - 49;Male;United Kingdom;250 - 999 (large);Financial Services;8;3;1050;3;3;3;3;4;Fully virtual;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
Under 30;Prefer not to say;France;250 - 999 (large);Healthcare / Life Sciences;24;1;50;3;4;3;3;3;Hybrid (in-person + virtual);2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
40 - 49;Male;France;250 - 999 (large);Consumer Goods;19;8;650;1;2;5;3;3;In-person only;1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
Under 30;Non-binary / gender diverse;France;50 - 249 (medium);Technology / Software;11;4;750;1;3;3;2;4;Fully virtual;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
50 - 59;Female;Germany;50 - 249 (medium);Healthcare / Life Sciences;11;2;500;2;4;3;3;3;Hybrid (in-person + virtual);0;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;Germany;50 - 249 (medium);Technology / Software;15;5;750;4;4;4;3;5;Hybrid (in-person + virtual);5;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
50 - 59;Male;United States;1 - 9 (micro);Financial Services;1;2;950;0;2;1;3;3;Hybrid (in-person + virtual);2;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
50 - 59;Female;France;50 - 249 (medium);Financial Services;10;6;650;2;3;3;1;3;Hybrid (in-person + virtual);1;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Female;France;250 - 999 (large);Manufacturing / Industry;0;6;1350;0;2;2;1;3;Hybrid (in-person + virtual);0;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
30 - 39;Male;United States;250 - 999 (large);Real Estate;7;3;1150;1;3;2;2;3;No preference;1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
40 - 49;Male;Other EU;50 - 249 (medium);Consumer Goods;17;3;450;1;3;3;3;4;Fully virtual;1;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Male;United States;50 - 249 (medium);Technology / Software;8;5;450;1;1;1;2;2;In-person only;0;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
40 - 49;Female;United Kingdom;1,000+ (enterprise);Manufacturing / Industry;7;2;1100;4;4;3;5;5;Fully virtual;1;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Male;United Kingdom;10 - 49 (small);Technology / Software;20;3;800;2;4;4;4;4;Fully virtual;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Female;Germany;250 - 999 (large);Manufacturing / Industry;11;7;400;3;3;3;1;2;Fully virtual;0;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
30 - 39;Male;United States;250 - 999 (large);Financial Services;31;2;450;4;3;5;5;4;Fully virtual;4;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
40 - 49;Female;Other EU;1,000+ (enterprise);Financial Services;16;4;450;2;3;1;4;3;Hybrid (in-person + virtual);3;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
40 - 49;Male;United Kingdom;1 - 9 (micro);Financial Services;11;5;650;2;4;4;5;4;Fully virtual;3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
30 - 39;Male;France;250 - 999 (large);Energy / Cleantech;4;5;950;3;4;3;5;4;No preference;3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
40 - 49;Male;United Kingdom;1 - 9 (micro);Financial Services;8;3;500;0;1;4;1;2;Hybrid (in-person + virtual);2;The atmosphere felt somewhat stiff and overly formal. It was difficult to break the ice with other attendees.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
60 or older;Female;Germany;250 - 999 (large);Financial Services;14;4;200;4;3;4;4;3;In-person only;2;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
50 - 59;Male;Germany;250 - 999 (large);Healthcare / Life Sciences;11;5;800;2;4;3;4;3;In-person only;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
30 - 39;Male;United States;50 - 249 (medium);Healthcare / Life Sciences;7;6;650;1;3;1;3;2;Hybrid (in-person + virtual);1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Unlikely to result in an acquisition for us. The industries represented did not overlap with our current investment thesis.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
30 - 39;Female;Germany;50 - 249 (medium);Financial Services;2;5;950;5;3;5;5;4;Hybrid (in-person + virtual);2;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
50 - 59;Male;Other EU;250 - 999 (large);Other;2;6;1200;4;4;5;5;4;Hybrid (in-person + virtual);4;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
60 or older;Male;Switzerland;50 - 249 (medium);Energy / Cleantech;4;6;750;2;3;2;2;4;In-person only;1;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
30 - 39;Female;Germany;10 - 49 (small);Manufacturing / Industry;20;8;750;7;4;3;3;4;In-person only;3;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
60 or older;Male;Switzerland;50 - 249 (medium);Technology / Software;13;5;750;2;2;3;3;2;Hybrid (in-person + virtual);2;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
50 - 59;Male;Germany;1,000+ (enterprise);Manufacturing / Industry;15;1;950;0;3;2;1;3;Hybrid (in-person + virtual);2;The atmosphere felt somewhat stiff and overly formal. It was difficult to break the ice with other attendees.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
40 - 49;Male;Germany;1,000+ (enterprise);Financial Services;20;3;700;4;5;5;4;5;Hybrid (in-person + virtual);5;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Prefer not to say;United Kingdom;1,000+ (enterprise);Technology / Software;18;5;650;5;4;4;5;3;In-person only;2;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
40 - 49;Male;Netherlands;10 - 49 (small);Technology / Software;19;5;500;2;3;3;3;2;No preference;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
30 - 39;Female;Germany;50 - 249 (medium);Technology / Software;11;9;1050;3;3;5;3;4;Fully virtual;0;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
60 or older;Male;Other EU;50 - 249 (medium);Technology / Software;6;5;800;3;4;3;2;2;Hybrid (in-person + virtual);1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
60 or older;Male;Switzerland;50 - 249 (medium);Healthcare / Life Sciences;13;3;650;0;2;1;2;2;Hybrid (in-person + virtual);2;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
40 - 49;Male;United Kingdom;1,000+ (enterprise);Real Estate;15;6;650;3;5;5;3;4;Hybrid (in-person + virtual);2;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
60 or older;Male;United Kingdom;50 - 249 (medium);Consumer Goods;11;1;600;1;4;2;4;4;Fully virtual;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
30 - 39;Male;Other non-EU;50 - 249 (medium);Financial Services;20;5;100;2;3;2;3;3;Hybrid (in-person + virtual);1;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
30 - 39;Male;United States;250 - 999 (large);Other;8;6;300;4;4;4;5;4;Hybrid (in-person + virtual);2;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
40 - 49;Male;Switzerland;250 - 999 (large);Manufacturing / Industry;9;1;850;3;3;3;4;3;In-person only;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
40 - 49;Prefer not to say;Switzerland;10 - 49 (small);Energy / Cleantech;23;0;500;3;4;4;4;5;In-person only;4;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
50 - 59;Female;Other EU;10 - 49 (small);Energy / Cleantech;12;5;750;3;5;5;4;5;In-person only;2;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
60 or older;Female;Netherlands;1,000+ (enterprise);Healthcare / Life Sciences;19;2;200;0;3;3;3;2;Fully virtual;0;The atmosphere felt somewhat stiff and overly formal. It was difficult to break the ice with other attendees.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
60 or older;Female;Other non-EU;1,000+ (enterprise);Financial Services;0;4;1650;3;4;4;4;4;No preference;2;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
40 - 49;Female;Other EU;50 - 249 (medium);Real Estate;33;2;250;5;4;4;5;4;Hybrid (in-person + virtual);5;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
40 - 49;Female;Netherlands;10 - 49 (small);Technology / Software;10;5;750;4;4;2;4;5;In-person only;2;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
40 - 49;Female;Netherlands;1,000+ (enterprise);Consumer Goods;3;4;150;2;3;4;5;5;Hybrid (in-person + virtual);3;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Male;France;250 - 999 (large);Technology / Software;12;7;850;3;3;5;5;5;In-person only;1;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
50 - 59;Male;Netherlands;250 - 999 (large);Healthcare / Life Sciences;10;6;500;4;4;3;5;3;Hybrid (in-person + virtual);2;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
50 - 59;Male;France;1 - 9 (micro);Financial Services;33;7;900;2;3;3;2;4;Fully virtual;3;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
40 - 49;Prefer not to say;United Kingdom;1 - 9 (micro);Other;11;5;600;4;4;5;4;5;Fully virtual;6;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
50 - 59;Male;France;250 - 999 (large);Financial Services;9;5;1350;1;4;4;2;4;No preference;2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
40 - 49;Male;Other EU;10 - 49 (small);Technology / Software;12;2;950;1;1;4;4;2;Hybrid (in-person + virtual);2;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
